"id","fid","y_stacking_01","y_stacking_nn","y_cv","y_stacking","y_average","D_stacking_01","D_stacking_nn","D_cv","D_stacking","D_average","Z_stacking_01","Z_stacking_nn","Z_cv","Z_stacking","Z_average"
1,1,2.15186576215379,1.96946409107536,2.25099602521559,1.25128332531424,1.69820588582536,-7.99071654812514,-6.80262979425771,-8.83273188960057,-5.591980003331,-6.60398257336719,-1.60043547816911,-1.1131103475028,-1.22770354400454,0.137551463925696,-0.974023559040088
2,2,0.584439963690222,0.449890016141822,0.655215567593489,0.45949302083918,0.330307381008639,-5.10116384810341,-3.82183785852839,-5.07005753304486,-2.92242157628784,-5.06988506922157,-1.31791117932454,-0.540542965048685,-0.705168721045329,0.398688133852366,-0.759222128792791
3,2,-1.21576268182086,-1.33189142233869,-1.35278342528232,-1.36377257111561,-0.991475936325551,-1.80722787947991,-1.12918080414014,-1.99181435668342,-1.00872498813869,-3.50941278933359,0.0624837634803423,0.249692723523683,0.39322375339753,-0.219057559193926,-0.502398997404383
4,1,-0.929126857402884,-1.06664650076114,-1.03094592580074,-0.86948744886478,-0.785979319252705,-2.39006064912018,-2.14267340629827,-1.47903678241194,-2.21370628482954,-2.80585969231292,0.403748754934083,0.444339264833403,2.15549627810505,0.295643224007074,0.284581419358878
5,1,-0.393158282481814,-0.54286278392406,-0.242600602872165,0.210809619758414,-0.747002514847456,-0.644491885300223,-0.752142790504692,-0.64062673494276,-1.36167145130542,-1.6694222210652,0.825917709223088,0.807154148478578,1.67414569527715,0.119469574092868,0.816027682997975
6,1,0.788884700420025,0.650326468414923,0.714381929423591,1.14268151397561,0.837357356012284,-1.83727170440143,-1.90890964030552,-1.36127711789218,-1.6689686706614,-2.67352595048596,-1.23046266978789,-0.892550014294866,-0.101439936973508,0.195907190715966,-1.60589806181457
7,2,0.62514580632332,0.513987537976953,0.617765897381991,0.262171519015213,0.66376072227026,-1.05809470098737,-0.282736680670888,-1.37248272623129,-0.613614867315366,-2.06497292012922,-0.470475109562178,-0.259880488117382,-0.444438202283091,-0.120744466006171,-1.27108745432797
8,2,-0.539229389303288,-0.653998347445889,-0.334569642770484,-1.12742572723007,-0.96936431122071,-1.99913695396349,-0.924901695427337,-1.83280920332203,-2.35880608631191,-2.0958138410127,0.0285752866828481,0.408986099020863,0.28293556656404,0.330856579581962,-0.436380702064465
9,1,1.51346182038935,1.36016049773601,1.62287478090843,1.68224027287,1.21800784724881,-1.96343778058641,-1.49678431783898,-1.57784464665012,-1.19453109979276,-2.55088968584741,-0.996429570945438,-0.247352413808679,-0.692201144840299,0.583121234608997,-0.980754946954734
10,1,0.0233728466356045,-0.130588169365573,0.0221554127446479,-0.212162160463198,-0.152193680466294,-0.951355974662174,-0.711170024384721,-0.437858922294085,-0.567729662367649,-2.44360705035107,-1.2044007557443,-0.617871375607272,-0.940472975721377,-0.242455427406369,-1.01586331653213
