"id","fid","y_mdl","D_mdl","Z_mdl"
1,1,1.91871372561361,-3.79386755478893,0.149242151068476
2,5,0.477337735482437,-3.38137319838195,1.15289665428272
3,1,-0.616635777730385,-1.84339886996048,2.21483487691543
4,4,-0.936569916737201,-0.371453870045882,2.7183373587684
5,2,-0.780551749698057,0.336544044091383,3.00801796234546
6,4,0.683094024399566,-0.325788982249027,-1.56099284032398
7,4,0.782822710610328,-0.252624242354729,-1.31021164979229
8,5,-1.05783940624368,1.29435672083284,-0.731965366730343
9,5,0.689690555091127,1.02925049035903,-0.748719395441523
10,1,-0.416252620225282,0.017704456630927,-0.75366464391797
11,5,-1.9832009697425,1.43901518705396,-0.66829456574688
12,5,1.07738523686719,2.49926419102506,-0.683356556695596
13,2,-0.480958870418829,5.10192450946021,-0.379073359431905
14,3,-0.906987466474787,6.29303113974546,-0.769934039123878
15,2,2.575804836966,-1.24249209480016,-4.49009172265902
16,2,1.99839554260211,-3.25811262550141,-2.83475090637265
17,1,1.7518422171287,-1.82095030108653,-1.93679251304003
18,4,1.37604261607569,-2.66516162577729,-2.55843349555095
19,4,2.28659894223901,-10.8290137146516,-1.68987540807826
20,4,-1.25405175061527,1.34412945304421,-1.54947006143002
21,3,-0.527069286081877,1.36452298800552,-1.72795507928514
22,3,1.96086495243539,1.75331175471021,-1.74310339979731
23,1,1.43610094927703,-5.66900686224184,-1.25867696956055
24,5,1.10556743865269,-4.61099122089194,-3.18094448955891
25,5,0.609704823685225,-5.75083511852417,1.75427112387795
26,5,-1.49325740853611,-7.43140564497733,2.32533832526883
27,1,-0.882675680242812,-2.28876298976851,2.50035569726343
28,1,0.833461634507178,0.234366792204736,-2.23312857599987
29,5,1.39128180384285,-1.6353451056144,0.264010733689899
30,5,-0.609439677821421,-1.68146067169072,0.723287853209051
31,2,0.581998767484303,-1.25343947983511,1.21906454717914
32,5,-2.73490320224769,-2.44618281335736,1.16238261988354
33,3,-0.13244855799587,1.80887976747904,1.15718257223262
34,4,-0.437188270375977,-6.95713155744022,1.57409423151583
35,4,2.55837807632589,-1.74306411208392,-1.43340875960457
36,5,1.5509312520667,-1.58914065006428,-0.235011345476845
37,1,1.31200386628132,-1.68147981290516,0.947198433673648
38,4,1.30358306034548,-2.90884272863747,0.0654853318426216
39,3,-0.960057821157443,1.80558944501818,0.992647510689624
40,2,1.00594709879066,2.67309818171848,1.02460090275761
41,3,2.19050114093092,-4.51157015584214,1.3591823544561
42,3,-0.202945646073129,-1.05167131772654,2.64155581780706
43,5,-0.83857911208093,7.3533758966403,1.80981655089963
44,1,-0.590842368451412,8.62674548679426,1.87959762948381
45,2,0.401910009801833,-1.70433887419949,-0.448520904972344
46,1,-0.341187813067855,-1.01287795464476,1.03531803909338
47,5,1.07231520726813,-10.7605324402888,0.685886574586597
48,5,-0.482987574894197,-3.47684151397407,1.42192340500165
49,1,0.245791282044459,-1.10389760821412,1.38070412511852
50,1,0.952789805369163,0.31899384816459,-1.63898318520558
51,1,0.451468319088615,-0.863660515624415,-1.26119985086817
52,1,0.749413511981309,-1.81710666823244,-0.776546493898101
53,5,-0.361409969920803,-1.66301890143709,-0.463936221221431
54,1,1.93357049630011,-2.05573766250975,0.0288090916272106
55,3,-0.738793408441209,-1.9521212638432,0.290872481023943
56,3,0.452548726565718,-1.46585160598404,1.24276749200954
57,5,-0.967016431019891,0.643192108970555,1.21402266043269
58,4,1.08811053438658,-8.54018767060693,-2.63713545495206
59,1,0.836564433901745,-0.918181615144906,-1.72644030285826
60,2,0.49429607918765,-1.90591333762923,-2.60028524134904
61,4,1.51302440796996,-5.77621916477449,-1.34816135027496
